jumlah_siswa;jumlah_guru;rasio_guru_siswa;persentase_guru_bersertifikasi;rata_rata_nilai;prestasi_akademik;akreditasi;persentase_fasilitas_layak;kehadiran_siswa;persentase_lulusan_melanjutkan;status_sekolah
252;11;22.91;61.52;69.1;13;B;45.0;87.22;69.46;Tidak Unggul
585;21;27.86;54.54;68.39;5;C;65.22;77.99;50.0;Tidak Unggul
420;30;14.0;98.12;84.3;16;A;70.53;93.4;76.21;Unggul
256;12;21.33;66.24;74.58;13;B;82.53;80.57;94.35;Tidak Unggul
221;10;22.1;71.37;75.2;9;C;59.22;81.75;67.33;Tidak Unggul
850;40;21.25;79.06;74.45;14;B;80.27;93.47;88.37;Unggul
170;10;17.0;72.71;71.53;17;A;80.23;91.17;88.22;Tidak Unggul
764;30;25.47;66.21;63.95;12;B;72.4;81.65;63.08;Tidak Unggul
271;15;18.07;64.4;79.83;15;A;85.46;95.55;77.17;Unggul
616;33;18.67;79.19;87.21;12;A;82.77;84.37;90.18;Unggul
364;27;13.48;89.36;88.28;17;A;82.69;90.22;85.24;Unggul
480;20;24.0;56.35;71.31;8;B;70.48;81.7;70.27;Tidak Unggul
608;29;20.97;81.23;86.02;13;B;86.06;87.02;78.73;Unggul
237;11;21.55;68.81;79.85;12;B;73.86;91.91;64.37;Tidak Unggul
522;21;24.86;64.29;79.39;14;B;72.99;85.31;82.4;Tidak Unggul
249;15;16.6;74.54;88.73;16;A;75.61;99.0;77.82;Unggul
813;35;23.23;69.63;67.9;7;C;67.41;76.98;65.18;Tidak Unggul
280;16;17.5;58.64;74.47;12;B;68.36;89.78;68.72;Tidak Unggul
811;38;21.34;62.99;74.39;15;A;75.8;87.46;82.54;Unggul
458;28;16.36;71.42;83.08;12;A;77.85;87.69;78.69;Unggul
919;33;27.85;59.31;62.88;9;B;66.09;81.11;71.88;Tidak Unggul
493;32;15.41;84.78;77.38;17;B;78.56;89.87;92.96;Unggul
641;34;18.85;68.97;73.41;11;B;84.21;88.23;76.46;Unggul
563;23;24.48;61.21;68.09;6;C;54.78;79.59;65.13;Tidak Unggul
955;49;19.49;65.7;83.86;14;B;67.92;90.17;77.57;Unggul
535;36;14.86;80.7;83.83;15;A;74.75;95.45;82.65;Unggul
341;14;24.36;48.76;70.6;11;C;60.95;78.37;73.47;Tidak Unggul
426;16;26.62;71.84;77.57;11;B;71.25;91.83;71.35;Tidak Unggul
310;14;22.14;72.29;76.07;9;C;82.27;87.79;75.73;Tidak Unggul
609;30;20.3;64.29;65.93;9;B;74.89;87.48;79.77;Tidak Unggul
463;21;22.05;77.16;82.67;13;B;73.66;89.08;77.57;Tidak Unggul
171;8;21.38;71.83;76.64;13;A;71.43;89.23;73.06;Tidak Unggul
402;18;22.33;79.3;81.54;11;C;79.95;83.65;69.81;Tidak Unggul
897;36;24.92;74.28;72.71;11;B;65.11;89.59;78.74;Tidak Unggul
710;34;20.88;69.73;75.46;14;A;67.25;89.31;74.21;Unggul
624;41;15.22;84.11;81.04;12;A;69.29;85.2;81.58;Unggul
208;19;10.95;86.48;92.54;15;A;77.61;94.66;77.99;Unggul
660;40;16.5;79.52;76.14;17;A;89.8;89.74;82.27;Unggul
831;57;14.58;83.58;85.88;17;B;88.08;93.38;78.04;Unggul
625;32;19.53;73.47;76.51;9;B;75.01;85.07;64.83;Tidak Unggul
849;41;20.71;73.0;78.96;13;A;60.31;90.76;85.46;Unggul
932;51;18.27;76.34;89.02;14;A;77.59;85.87;79.32;Unggul
339;15;22.6;72.09;64.54;11;B;71.72;82.86;67.28;Tidak Unggul
836;63;13.27;74.24;87.28;16;A;84.91;92.99;79.13;Unggul
712;26;27.38;76.17;75.18;7;B;54.05;87.99;73.47;Tidak Unggul
716;29;24.69;52.06;78.29;13;B;65.51;88.26;67.74;Tidak Unggul
393;17;23.12;71.31;76.07;8;C;63.14;84.6;70.64;Tidak Unggul
981;70;14.01;70.73;83.56;16;B;89.73;87.79;81.64;Unggul
654;26;25.15;65.83;70.7;13;B;69.0;78.09;72.96;Tidak Unggul
280;15;18.67;68.24;79.77;16;B;77.63;97.08;79.27;Unggul
634;24;26.42;59.4;76.9;11;B;56.48;84.08;66.37;Tidak Unggul
968;44;22.0;67.78;72.75;10;C;58.65;88.93;69.24;Tidak Unggul
796;32;24.88;70.46;72.85;12;C;75.61;87.41;74.72;Tidak Unggul
170;9;18.89;87.36;78.33;16;A;63.03;83.98;78.74;Unggul
990;39;25.38;66.86;72.0;10;B;55.52;85.25;70.32;Tidak Unggul
316;13;24.31;73.59;76.82;8;B;75.83;86.42;70.67;Tidak Unggul
423;19;22.26;64.63;69.86;6;C;70.54;77.99;62.79;Tidak Unggul
537;34;15.79;87.73;90.53;18;A;74.5;91.28;82.1;Unggul
750;33;22.73;56.49;63.41;10;C;63.74;80.03;67.06;Tidak Unggul
465;22;21.14;68.32;75.19;11;B;80.16;88.76;75.26;Tidak Unggul
163;8;20.38;77.67;72.71;13;B;76.57;85.68;72.82;Tidak Unggul
391;21;18.62;77.84;89.49;18;A;86.81;93.12;82.73;Unggul
926;38;24.37;67.6;75.82;7;B;77.16;80.43;67.64;Unggul
495;37;13.38;88.93;79.05;17;A;100.0;91.49;88.79;Unggul
714;28;25.5;59.55;65.13;6;B;64.46;81.99;71.46;Tidak Unggul
489;17;28.76;72.55;67.46;10;B;78.63;84.16;67.22;Tidak Unggul
241;9;26.78;47.01;76.66;8;C;73.25;83.51;59.52;Tidak Unggul
516;23;22.43;51.55;68.53;8;C;63.94;79.09;62.0;Tidak Unggul
604;33;18.3;65.15;80.19;11;B;77.91;90.23;81.4;Unggul
577;18;32.06;62.55;62.93;5;B;46.25;85.37;54.68;Tidak Unggul
658;42;15.67;69.41;83.74;15;B;81.68;89.07;76.47;Unggul
925;41;22.56;54.42;75.97;9;C;61.56;82.82;60.58;Tidak Unggul
184;11;16.73;80.07;90.97;18;A;76.37;94.58;83.14;Unggul
355;16;22.19;70.48;72.88;12;C;78.96;87.21;72.31;Tidak Unggul
230;12;19.17;72.79;80.32;16;A;71.46;89.76;81.46;Unggul
711;30;23.7;54.41;68.41;9;B;67.43;81.28;64.1;Tidak Unggul
537;22;24.41;69.06;73.33;9;B;77.46;85.31;63.36;Tidak Unggul
151;10;15.1;86.55;80.03;15;A;78.5;85.65;79.55;Unggul
539;20;26.95;48.91;70.19;6;C;60.16;80.72;55.89;Tidak Unggul
715;52;13.75;96.01;80.88;16;A;79.5;97.09;90.76;Unggul
255;18;14.17;72.57;78.96;13;A;71.4;83.19;76.07;Unggul
921;74;12.45;82.8;89.27;20;A;88.7;88.06;81.22;Unggul
971;72;13.49;85.87;88.29;19;A;100.0;95.89;91.64;Unggul
626;22;28.45;63.42;62.12;5;C;77.5;88.49;65.67;Tidak Unggul
852;45;18.93;53.08;73.53;10;B;67.92;92.23;69.18;Unggul
551;26;21.19;68.76;73.81;10;B;69.67;84.92;64.62;Unggul
879;57;15.42;84.97;86.29;16;A;79.08;93.06;80.23;Unggul
705;34;20.74;82.73;76.54;13;B;65.6;91.79;76.16;Unggul
311;16;19.44;69.92;74.16;10;B;66.1;81.93;75.17;Tidak Unggul
351;18;19.5;65.77;73.58;8;C;65.78;79.66;78.67;Tidak Unggul
419;18;23.28;73.16;77.13;8;C;48.48;83.8;69.98;Tidak Unggul
965;32;30.16;75.25;60.0;5;C;58.88;78.44;64.79;Tidak Unggul
420;22;19.09;72.1;75.61;12;B;78.38;87.46;64.81;Tidak Unggul
605;28;21.61;70.08;81.08;12;B;88.32;85.51;67.47;Tidak Unggul
611;33;18.52;84.11;73.11;15;B;79.83;93.37;81.22;Unggul
876;35;25.03;57.18;67.21;10;B;59.89;85.98;60.63;Tidak Unggul
401;23;17.43;76.2;84.68;13;A;69.45;88.26;73.67;Unggul
851;38;22.39;91.35;73.93;13;B;72.84;80.72;75.46;Unggul
445;23;19.35;72.88;71.8;12;B;70.74;86.79;72.35;Tidak Unggul
874;29;30.14;63.23;65.06;2;C;56.26;80.09;52.69;Tidak Unggul
